id,date,time,evla,evlo,evdp,mag,imagtyp,dir
20130105085819,2013-01-05,08:58:19.330,55.3930,-134.6520,10.0,7.5,mww,CENC/20130105085819
20130130201543,2013-01-30,20:15:43.340,-28.0940,-70.6530,45.0,6.8,mww,CENC/20130130201543
20130202141735,2013-02-02,14:17:35.130,42.7700,143.0920,107.0,6.9,mww,CENC/20130202141735
20130206011225,2013-02-06,01:12:25.830,-10.7990,165.1140,24.0,8.0,mww,CENC/20130206011225
20130206012319,2013-02-06,01:23:19.760,-11.1830,164.8820,10.0,7.1,mww,CENC/20130206012319
20130206015414,2013-02-06,01:54:14.610,-10.4990,165.5880,8.8,7.0,mww,CENC/20130206015414
20130207185916,2013-02-07,18:59:16.270,-10.9970,165.6550,11.0,6.7,mww,CENC/20130207185916
20130208111211,2013-02-08,11:12:11.510,-10.8380,165.9690,12.0,6.8,mww,CENC/20130208111211
20130208152638,2013-02-08,15:26:38.470,-10.9280,166.0180,21.0,7.1,mww,CENC/20130208152638
20130209141607,2013-02-09,14:16:07.880,1.1350,-77.3930,145.0,6.9,mww,CENC/20130209141607
20130209210222,2013-02-09,21:02:22.790,-10.9940,165.7410,18.0,6.6,mww,CENC/20130209210222
20130214131353,2013-02-14,13:13:53.130,67.6310,142.5080,11.0,6.6,mww,CENC/20130214131353
20130228140550,2013-02-28,14:05:50.250,50.9540,157.2830,41.0,6.9,mww,CENC/20130228140550
20130301132049,2013-03-01,13:20:49.930,50.9580,157.4080,29.0,6.5,mww,CENC/20130301132049
20130310225150,2013-03-10,22:51:50.800,-6.5980,148.1740,28.0,6.5,mww,CENC/20130310225150
20130406044235,2013-04-06,04:42:35.860,-3.5170,138.4760,66.0,7.0,mww,CENC/20130406044235
20130414013222,2013-04-14,01:32:22.640,-6.4750,154.6070,31.0,6.6,mww,CENC/20130414013222
20130416104420,2013-04-16,10:44:20.180,28.0330,61.9960,80.0,7.7,mww,CENC/20130416104420
20130416225526,2013-04-16,22:55:26.680,-3.2140,142.5420,13.0,6.6,mww,CENC/20130416225526
20130419030552,2013-04-19,03:05:52.650,46.2210,150.7880,110.0,7.2,mww,CENC/20130419030552
20130420000247,2013-04-20,00:02:47.540,30.3080,102.8880,14.0,6.6,mww,CENC/20130420000247
20130423231440,2013-04-23,23:14:40.630,-3.8980,152.1270,10.0,6.5,mww,CENC/20130423231440
20130514003225,2013-05-14,00:32:25.890,18.7280,145.2880,602.2,6.8,mww,CENC/20130514003225
20130613164723,2013-06-13,16:47:23.320,-10.0040,107.2360,9.0,6.7,mww,CENC/20130613164723
20130615173427,2013-06-15,17:34:27.810,11.7630,-86.9260,30.0,6.5,mww,CENC/20130615173427
20130624220413,2013-06-24,22:04:13.480,10.7010,-42.5940,10.0,6.6,mww,CENC/20130624220413
20130707183530,2013-07-07,18:35:30.740,-3.9170,153.9270,385.5,7.3,mww,CENC/20130707183530
20130707203006,2013-07-07,20:30:06.850,-6.0290,149.7060,56.0,6.6,mww,CENC/20130707203006
20130715140339,2013-07-15,14:03:39.880,-60.8570,-25.0700,11.0,7.3,mww,CENC/20130715140339
20130721050931,2013-07-21,05:09:31.450,-41.7040,174.3370,17.0,6.5,mww,CENC/20130721050931
20130813154315,2013-08-13,15:43:15.200,5.7732,-78.1999,12.0,6.7,mww,CENC/20130813154315
20130816023105,2013-08-16,02:31:05.750,-41.7340,174.1520,8.2,6.5,mww,CENC/20130816023105
20130830162502,2013-08-30,16:25:02.300,51.5370,-175.2297,29.0,7.0,mww,CENC/20130830162502
20130901115229,2013-09-01,11:52:29.930,-7.4400,128.2209,112.0,6.5,mww,CENC/20130901115229
20130904001823,2013-09-04,00:18:23.370,29.9377,138.8325,402.0,6.5,mww,CENC/20130904001823
20130904023230,2013-09-04,02:32:30.600,51.5573,-174.7671,20.0,6.5,mww,CENC/20130904023230
20130924112947,2013-09-24,11:29:47.970,26.9510,65.5009,15.0,7.7,mww,CENC/20130924112947
20130925164243,2013-09-25,16:42:43.170,-15.8385,-74.5112,40.0,7.1,mww,CENC/20130925164243
20130928073406,2013-09-28,07:34:06.450,27.1825,65.5052,12.0,6.8,mww,CENC/20130928073406
20130930055555,2013-09-30,05:55:55.220,-30.9255,-178.3234,41.5,6.5,mww,CENC/20130930055555
20131001033821,2013-10-01,03:38:21.710,53.1995,152.7864,573.0,6.7,mww,CENC/20131001033821
20131012131153,2013-10-12,13:11:53.350,35.5142,23.2523,40.0,6.6,mww,CENC/20131012131153
20131015001232,2013-10-15,00:12:32.050,9.8796,124.1167,19.0,7.1,mww,CENC/20131015001232
20131016103058,2013-10-16,10:30:58.550,-6.4456,154.9310,35.0,6.8,mww,CENC/20131016103058
20131019175454,2013-10-19,17:54:54.700,26.0913,-110.3209,9.4,6.6,mww,CENC/20131019175454
20131024192510,2013-10-24,19:25:10.930,-58.1530,-12.7964,22.9,6.7,mww,CENC/20131024192510
20131025171019,2013-10-25,17:10:19.710,37.1557,144.6611,35.0,7.1,mww,CENC/20131025171019
20131031230359,2013-10-31,23:03:59.720,-30.2921,-71.5215,27.0,6.6,mww,CENC/20131031230359
20131116033431,2013-11-16,03:34:31.230,-60.2627,-47.0621,10.0,6.9,mww,CENC/20131116033431
20131117090455,2013-11-17,09:04:55.530,-60.2738,-46.4011,10.0,7.7,mww,CENC/20131117090455
20131123074832,2013-11-23,07:48:32.130,-17.1171,-176.5449,371.0,6.5,mww,CENC/20131123074832
20131125062733,2013-11-25,06:27:33.300,-53.9451,-55.0033,11.8,7.0,mww,CENC/20131125062733
20140101160329,2014-01-01,16:03:29.000,-13.8633,167.2490,187.0,6.5,mww,CENC/20140101160329
20140202092637,2014-02-02,09:26:37.820,-32.9076,-177.8806,44.3,6.5,mww,CENC/20140202092637
